recipe_id,recipe_name,dish_type_id,calories
1,Classic Margherita Pizza,1,400
2,Spicy Thai Green Curry,2,400
3,Traditional Beef Stroganoff,3,500
4,Vegetarian Lasagna,4,350
5,Chicken Tikka Masala,5,450
6,Quinoa and Black Bean Salad,6,310
7,Moroccan Chicken Tagine,7,420
8,French Onion Soup,8,280
9,Sushi Platter Assortment,9,370
10,Mexican Chorizo Tacos,10,390
11,New York Cheesecake,11,450
12,Korean Bibimbap,12,430
13,Spanish Seafood Paella,13,490
14,Vegan Buddha Bowl,14,360
15,Grilled Salmon with Dill Sauce,15,410
16,Italian Tiramisu,16,420
17,Indian Vegetable Samosa,17,250
18,BBQ Pulled Pork Sandwich,18,520
19,Greek Moussaka,19,480
20,Japanese Ramen Bowl,20,550
21,Chocolate Lava Cake,31,390
22,Smoked Texas Brisket,32,580
23,Turkish Baklava,33,330
24,Cantonese Dim Sum Platter,34,380
25,Brazilian Feijoada,35,470
26,Peruvian Ceviche,36,310
27,American Apple Pie,37,410
28,German Schnitzel,38,490
29,Ethiopian Doro Wat,39,440
30,Lebanese Falafel Pita,40,400
31,Zucchini Noodles with Pesto,61,220
32,Lamb Rogan Josh,62,510
33,Swedish Meatballs,63,470
34,Russian Borscht,64,280
35,Australian Lamb Chops,65,450
36,Portuguese Egg Tart,66,300
37,Vietnamese Pho,67,350
38,English Fish and Chips,68,600
39,Argentinian Chimichurri Steak,69,550
40,South African Bobotie,70,480
41,Belgian Waffles,71,330
42,Chicken Caesar Salad,72,410
43,Beef Bourguignon,73,540
44,Pad Thai,74,430
45,Spanish Gazpacho,75,220
46,Caribbean Jerk Chicken,76,470
47,Butternut Squash Risotto,77,380
48,Lamb Kebabs with Tzatziki,78,410
49,Shrimp Scampi,79,340
50,Cuban Sandwich,80,420
51,Hungarian Goulash,81,460
52,Jamaican Beef Patties,82,400
53,Tom Yum Soup,83,310
54,Austrian Apple Strudel,84,360
55,Filipino Adobo,85,370
56,Canadian Poutine,86,530
57,Danish Smørrebrød,87,290
58,Egyptian Koshari,88,400
59,Finnish Salmon Soup,89,350
60,Ghanaian Jollof Rice,90,450
61,Hawaiian Poke Bowl,91,380
62,Irish Beef Stew,92,500
63,Jollof Rice,93,450
64,Korean Kimchi Stew,94,360
65,Lebanese Tabouleh,95,270
66,Malaysian Rendang,96,520
67,Nigerian Pounded Yam and Egusi Soup,97,400
68,Omani Shuwa,98,560
69,Polish Pierogi,99,420
70,Qatari Machboos,100,510
71,Test Recipe,1,100
72,Chocolate Cake,1,500
73,Chocolate Cake,1,500
74,Fruit Salad,1,300
75,Test Recipe,1,300
76,Sample Recipe,1,200
77,Sample Recipe,1,200
78,Test Recipe,2,200
79,Chocolate Cake,1,500
80,Pasta,2,700
81,Chocolate Cake,1,500
82,Test Recipe,1,200
83,Test Recipe,1,100
